1	242
528	131
1071	167
1566	141
2061	168
2551	85
3041	186
3538	172
4031	82
4533	230
5027	250
5524	158
6018	179
6514	54
7013	132
7514	117
8011	77
8503	216
9002	162
9501	161
10002	15
10503	78
11118	30
11612	207
12107	129
12597	230
13096	98
13591	151
14083	159
14579	139
15076	73
15570	41
16067	80
16563	87
17062	190
17556	185
18053	92
18549	73
19045	158
19543	98
20041	169
20539	188
21036	175
21528	52
22018	126
22512	121
23006	115
23623	209
24120	65
24611	146
25102	148
25601	68
26101	204
26600	176
27099	149
27589	166
28000	0
